case,origin,source,checker,expected_observable_status,observed_status,runtime_ms,blocked_checks
libeer_no_validation_fold0,observed_pinned_source_control_flow,LibEER,elementary_split,block,block,1.533601083792746,validation_test_trial_isolation;subject_holdout
libeer_no_validation_fold0,observed_pinned_source_control_flow,LibEER,resource_contract,block,block,1.7438550712540746,validation_test_trial_isolation;subject_holdout;model_selection_test_exclusion;subject_preprocessing_selection_holdout
libeer_explicit_validation_fold0,observed_pinned_source_split,LibEER,elementary_split,allow,allow,1.4151380164548755,
libeer_explicit_validation_fold0,observed_pinned_source_split,LibEER,resource_contract,allow,allow,1.8457409460097551,
eegain_window_validation_fold0,native_function_on_three_marker_windows_per_real_trial,EEGain,elementary_split,block,block,1.4273379929363728,training_validation_trial_isolation
eegain_window_validation_fold0,native_function_on_three_marker_windows_per_real_trial,EEGain,resource_contract,block,block,2.0366250537335873,training_validation_trial_isolation
eegain_subject_test_fold0,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,elementary_split,allow,allow,1.4078880194574594,
eegain_subject_test_fold0,same_native_trace_without_unclaimed_validation_trial_holdout,EEGain,resource_contract,allow,allow,1.9744699820876122,
libeer_matched_fold0,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,allow,allow,1.5855709789320827,
libeer_matched_fold0,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,allow,allow,2.2505950182676315,
libeer_unequal_calibration_fold0,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3633789494633675,
libeer_unequal_calibration_fold0,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.1788139129057527,matched_calibration_trial_uids
libeer_unequal_population_labels_fold0,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3630579924210906,
libeer_unequal_population_labels_fold0,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.025658031925559,matched_population_label_trial_uids
libeer_different_evaluation_support_fold0,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3805960770696402,
libeer_different_evaluation_support_fold0,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.192485029809177,matched_evaluation_trial_uids
libeer_missing_provenance_fold0,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,unverifiable,allow,2.300941967405379,
libeer_missing_provenance_fold0,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,unverifiable,unverifiable,1.3650209875777364,
libeer_compound_fit_and_support_fold0,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.335707027465105,
libeer_compound_fit_and_support_fold0,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.15828197542578,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
libeer_selection_test_not_declared_as_validation_fold0,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3753969687968493,
libeer_selection_test_not_declared_as_validation_fold0,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.168489038012922,model_selection_test_exclusion;subject_preprocessing_selection_holdout
eegain_matched_fold0,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,allow,allow,1.4399769715964794,
eegain_matched_fold0,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,allow,allow,2.226607990451157,
eegain_unequal_calibration_fold0,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3825180940330029,
eegain_unequal_calibration_fold0,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.2073379950597882,matched_calibration_trial_uids
