dataset_id,representation,contrast,participant_dose,stimulus_dose,ccc_delta,ccc_ci_low,ccc_ci_high,valid_bootstrap,ccc_simultaneous_low,ccc_simultaneous_high,mae_delta,mae_ci_low,mae_ci_high
ds005540,de_ridge_base,eeg_added_population,0,0,0.018197483699897946,-0.07282159447297167,0.10921656187276756,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.008600182590474938,0.025808405922088974
ds005540,de_ridge_base,eeg_added_population,0,1,-0.009923782010875792,-0.061809119412585094,0.04196155539083351,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.006435875793945899,0.027691254739704418
ds005540,de_ridge_base,eeg_added_population,0,2,-0.00657217200929161,-0.07370339736061804,0.06055905334203482,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.009422987481125304,0.025701512113509576
ds005540,de_ridge_base,eeg_added_population,0,4,-0.006411474028104991,-0.08142934750800326,0.06860639945179328,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.004765668674246923,0.026973303796878276
ds005540,de_ridge_base,eeg_added_population,0,8,-0.007508379363935891,-0.08480410664142128,0.0697873479135495,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.005409404997797497,0.02592710622903125
ds005540,de_ridge_base,eeg_added_population,1,0,0.018197483699897946,-0.07282159447297167,0.10921656187276756,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.008600182590474938,0.025808405922088974
ds005540,de_ridge_base,eeg_added_population,1,1,-0.009923782010875792,-0.061809119412585094,0.04196155539083351,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.006435875793945899,0.027691254739704418
ds005540,de_ridge_base,eeg_added_population,1,2,-0.00657217200929161,-0.07370339736061804,0.06055905334203482,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.009422987481125304,0.025701512113509576
ds005540,de_ridge_base,eeg_added_population,1,4,-0.006411474028104991,-0.08142934750800326,0.06860639945179328,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.004765668674246923,0.026973303796878276
ds005540,de_ridge_base,eeg_added_population,1,8,-0.007508379363935891,-0.08480410664142128,0.0697873479135495,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.005409404997797497,0.02592710622903125
ds005540,de_ridge_base,eeg_added_population,2,0,0.018197483699897946,-0.07282159447297167,0.10921656187276756,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.008600182590474938,0.025808405922088974
ds005540,de_ridge_base,eeg_added_population,2,1,-0.009923782010875792,-0.061809119412585094,0.04196155539083351,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.006435875793945899,0.027691254739704418
ds005540,de_ridge_base,eeg_added_population,2,2,-0.00657217200929161,-0.07370339736061804,0.06055905334203482,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.009422987481125304,0.025701512113509576
ds005540,de_ridge_base,eeg_added_population,2,4,-0.006411474028104991,-0.08142934750800326,0.06860639945179328,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.004765668674246923,0.026973303796878276
ds005540,de_ridge_base,eeg_added_population,2,8,-0.007508379363935891,-0.08480410664142128,0.0697873479135495,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.005409404997797497,0.02592710622903125
ds005540,de_ridge_base,eeg_added_population,4,0,0.018197483699897946,-0.07282159447297167,0.10921656187276756,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.008600182590474938,0.025808405922088974
ds005540,de_ridge_base,eeg_added_population,4,1,-0.009923782010875792,-0.061809119412585094,0.04196155539083351,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.006435875793945899,0.027691254739704418
ds005540,de_ridge_base,eeg_added_population,4,2,-0.00657217200929161,-0.07370339736061804,0.06055905334203482,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.009422987481125304,0.025701512113509576
ds005540,de_ridge_base,eeg_added_population,4,4,-0.006411474028104991,-0.08142934750800326,0.06860639945179328,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.004765668674246923,0.026973303796878276
ds005540,de_ridge_base,eeg_added_population,4,8,-0.007508379363935891,-0.08480410664142128,0.0697873479135495,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.005409404997797497,0.02592710622903125
ds005540,de_ridge_base,eeg_added_population,8,0,0.018197483699897946,-0.07282159447297167,0.10921656187276756,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.008600182590474938,0.025808405922088974
ds005540,de_ridge_base,eeg_added_population,8,1,-0.009923782010875792,-0.061809119412585094,0.04196155539083351,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.006435875793945899,0.027691254739704418
ds005540,de_ridge_base,eeg_added_population,8,2,-0.00657217200929161,-0.07370339736061804,0.06055905334203482,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.009422987481125304,0.025701512113509576
ds005540,de_ridge_base,eeg_added_population,8,4,-0.006411474028104991,-0.08142934750800326,0.06860639945179328,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.004765668674246923,0.026973303796878276
ds005540,de_ridge_base,eeg_added_population,8,8,-0.007508379363935891,-0.08480410664142128,0.0697873479135495,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.005409404997797497,0.02592710622903125
ds005540,de_ridge_base,eeg_added_matched_calibration,0,0,0.018197483699897946,-0.07282159447297167,0.10921656187276756,1985,-0.05551207582893089,0.09190704322872678,0.008604111665807018,-0.008600182590474938,0.025808405922088974
ds005540,de_ridge_base,eeg_added_matched_calibration,0,1,-0.009923782010875792,-0.061809119412585094,0.04196155539083351,1985,-0.08363334153970463,0.06378577751795304,0.01062768947287926,-0.006435875793945899,0.027691254739704418
ds005540,de_ridge_base,eeg_added_matched_calibration,0,2,-0.00657217200929161,-0.07370339736061804,0.06055905334203482,1985,-0.08028173153812045,0.06713738751953723,0.008139262316192136,-0.009422987481125304,0.025701512113509576
ds005540,de_ridge_base,eeg_added_matched_calibration,0,4,-0.006411474028104991,-0.08142934750800326,0.06860639945179328,1985,-0.08012103355693383,0.06729808550072384,0.011103817561315676,-0.004765668674246923,0.026973303796878276
ds005540,de_ridge_base,eeg_added_matched_calibration,0,8,-0.007508379363935891,-0.08480410664142128,0.0697873479135495,1985,-0.08121793889276473,0.06620118016489294,0.010258850615616877,-0.005409404997797497,0.02592710622903125
ds005540,de_ridge_base,eeg_added_matched_calibration,1,0,-0.004568393031280149,-0.05197962127894495,0.04284283521638465,1985,-0.07827795256010898,0.06914116649754869,0.005887096407825226,-0.0055682090326557646,0.017342401848306217
ds005540,de_ridge_base,eeg_added_matched_calibration,1,1,-0.0019904745411237768,-0.03085783500361164,0.026876885921364085,1985,-0.07570003406995261,0.07171908498770506,0.0032246908635745752,-0.008153825132294183,0.014603206859443333
ds005540,de_ridge_base,eeg_added_matched_calibration,1,2,-0.0039229426648566545,-0.040033470756040516,0.03218758542632721,1985,-0.07763250219368549,0.06978661686397218,0.002356650108639974,-0.010553487163199945,0.015266787380479893
ds005540,de_ridge_base,eeg_added_matched_calibration,1,4,-0.010581833002459295,-0.05155239760984937,0.03038873160493078,1985,-0.08429139253128813,0.06312772652636954,0.00404673160216848,-0.009508667831611733,0.017602131035948692
ds005540,de_ridge_base,eeg_added_matched_calibration,1,8,-0.010979429890146386,-0.05545282578770882,0.03349396600741605,1985,-0.08468898941897522,0.06273012963868245,0.003826248367116314,-0.01026334607102072,0.017915842805253348
ds005540,de_ridge_base,eeg_added_matched_calibration,2,0,-0.006334837283267586,-0.05895227629958888,0.04628260173305371,1985,-0.08004439681209642,0.06737472224556125,0.005548993349489356,-0.003907500483723401,0.015005487182702113
ds005540,de_ridge_base,eeg_added_matched_calibration,2,1,-0.0025052376150515587,-0.03159313003343919,0.026582654803336075,1985,-0.0762147971438804,0.07120432191377728,-0.00026743796220696225,-0.010756662522159512,0.010221786597745587
ds005540,de_ridge_base,eeg_added_matched_calibration,2,2,-0.00730945258916782,-0.043103808021414725,0.028484902843079085,1985,-0.08101901211799666,0.06640010693966102,0.003945549106711133,-0.007667198962143743,0.015558297175566008
ds005540,de_ridge_base,eeg_added_matched_calibration,2,4,-0.014710016707932816,-0.05501440016837765,0.02559436675251202,1985,-0.08841957623676165,0.05899954282089602,0.006951308238458825,-0.004594490026150646,0.018497106503068295
ds005540,de_ridge_base,eeg_added_matched_calibration,2,8,-0.01850269258006354,-0.061408629015893515,0.024403243855766435,1985,-0.09221225210889238,0.055206866948765296,0.006098500098214332,-0.0051358447484149625,0.017332844944843627
ds005540,de_ridge_base,eeg_added_matched_calibration,4,0,-0.010876700339442713,-0.06788183372190895,0.046128433043023526,1985,-0.08458625986827155,0.06283285918938612,0.002895911385929595,-0.005516582890563278,0.011308405662422468
ds005540,de_ridge_base,eeg_added_matched_calibration,4,1,-0.0035993156719095754,-0.031039377146776185,0.023840745802957034,1985,-0.07730887520073841,0.07011024385691926,0.001698589513462162,-0.007869852706675715,0.011267031733600039
ds005540,de_ridge_base,eeg_added_matched_calibration,4,2,-0.00455908567582175,-0.03804626482104666,0.028928093469403157,1985,-0.07826864520465059,0.06915047385300709,0.00048067827588052503,-0.00829355084409124,0.00925490739585229
ds005540,de_ridge_base,eeg_added_matched_calibration,4,4,-0.01147837340136526,-0.05030057681802517,0.027343830015294647,1985,-0.0851879329301941,0.062231186127463575,0.006576706949030481,-0.002406452815706556,0.015559866713767518
ds005540,de_ridge_base,eeg_added_matched_calibration,4,8,-0.014143638650932822,-0.05285823310108816,0.02457095579922252,1985,-0.08785319817976166,0.059565920877896014,0.004343229316236069,-0.004559526808289631,0.01324598544076177
ds005540,de_ridge_base,eeg_added_matched_calibration,8,0,-0.008610342898044382,-0.07114207531143518,0.05392138951534642,1985,-0.08231990242687322,0.06509921663078445,0.0026851148613414866,-0.005488401873282136,0.01085863159596511
ds005540,de_ridge_base,eeg_added_matched_calibration,8,1,-0.0031401130511108932,-0.032550473287142445,0.026270247184920655,1985,-0.07684967257993973,0.07056944647771794,0.00147481511165784,-0.00844906644890849,0.01139869667222417
ds005540,de_ridge_base,eeg_added_matched_calibration,8,2,-0.0025129200663313034,-0.040225260943432636,0.03519942081077003,1985,-0.07622247959516014,0.07119663946249753,-7.31146675775618e-05,-0.009303470796924928,0.009157241461769805
ds005540,de_ridge_base,eeg_added_matched_calibration,8,4,-0.008360362081806572,-0.05161169326168227,0.03489096909806913,1985,-0.08206992161063541,0.06534919744702226,0.0035539025347225695,-0.005506644483940162,0.012614449553385301
ds005540,de_ridge_base,eeg_added_matched_calibration,8,8,-0.010787073232627953,-0.05327261725351522,0.03169847078825931,1985,-0.08449663276145679,0.06292248629620088,0.0028551253693039624,-0.0056955059749035745,0.0114057567135115
ds005540,de_ridge_base,prior_calibration_gain,0,0,0.0,0.0,0.0,1985,-0.12964144783171755,0.12964144783171755,0.0,0.0,0.0
ds005540,de_ridge_base,prior_calibration_gain,0,1,0.0,0.0,0.0,1985,-0.12964144783171755,0.12964144783171755,0.0,0.0,0.0
ds005540,de_ridge_base,prior_calibration_gain,0,2,0.0,0.0,0.0,1985,-0.12964144783171755,0.12964144783171755,0.0,0.0,0.0
ds005540,de_ridge_base,prior_calibration_gain,0,4,0.0,0.0,0.0,1985,-0.12964144783171755,0.12964144783171755,0.0,0.0,0.0
ds005540,de_ridge_base,prior_calibration_gain,0,8,0.0,0.0,0.0,1985,-0.12964144783171755,0.12964144783171755,0.0,0.0,0.0
ds005540,de_ridge_base,prior_calibration_gain,1,0,0.13942400367279775,0.01304024880725388,0.2658077585383416,1985,0.009782555841080204,0.26906545150451533,0.03201684061263571,-0.011231259017439314,0.07526494024271074
ds005540,de_ridge_base,prior_calibration_gain,1,1,0.020243552285919175,-0.08177662556627954,0.1222637301381179,1985,-0.10939789554579837,0.14988500011763672,0.02546006133935047,-0.01532595870614828,0.06624608138484922
ds005540,de_ridge_base,prior_calibration_gain,1,2,0.005696107559400199,-0.1151704855348078,0.1265627006536082,1985,-0.12394534027231735,0.13533755539111775,0.033865302417263154,-0.0021662935394575825,0.06989689837398388
ds005540,de_ridge_base,prior_calibration_gain,1,4,0.0004809728596645302,-0.12566586279265937,0.12662780851198843,1985,-0.12916047497205302,0.13012242069138208,0.03683681285014001,0.0005458025894241533,0.07312782311085586
ds005540,de_ridge_base,prior_calibration_gain,1,8,-0.0051155723635893935,-0.13833508830819388,0.1281039435810151,1985,-0.13475702019530694,0.12452587546812816,0.03864008458672469,0.0019250636526075143,0.07535510552084186
ds005540,de_ridge_base,prior_calibration_gain,2,0,0.13636464028270495,0.024009308660263337,0.24871997190514655,1985,0.006723192450987403,0.2660060881144225,-0.0002692030614430685,-0.025725912182450537,0.0251875060595644
ds005540,de_ridge_base,prior_calibration_gain,2,1,0.04876702860725174,-0.032084496178741706,0.12961855339324518,1985,-0.08087441922446581,0.1784084764389693,0.005938020076857842,-0.021850123576655972,0.033726163730371655
ds005540,de_ridge_base,prior_calibration_gain,2,2,0.06686990454262631,-0.025561710321589562,0.15930151940684217,1985,-0.06277154328909124,0.19651135237434386,0.00607292469070958,-0.01716993387291116,0.02931578325433032
