dataset_id,representation,contrast,participant_dose,stimulus_dose,ccc_delta,ccc_ci_low,ccc_ci_high,valid_bootstrap,ccc_simultaneous_low,ccc_simultaneous_high,mae_delta,mae_ci_low,mae_ci_high
ds005540,de_ridge_base,eeg_added_population,0,0,0.018197483699897946,-0.05130048378509521,0.08799449273811871,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.004153949223779363,0.021982558262403983
ds005540,de_ridge_base,eeg_added_population,0,1,-0.009923782010875792,-0.0459093149606017,0.03427773298982342,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.002219138283613753,0.024280674385865727
ds005540,de_ridge_base,eeg_added_population,0,2,-0.00657217200929161,-0.05625709273111431,0.04544211167796808,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.0050311773800024275,0.021702581073404267
ds005540,de_ridge_base,eeg_added_population,0,4,-0.006411474028104991,-0.06441509569346263,0.04908122950452227,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.00020812166253395545,0.023288937778398838
ds005540,de_ridge_base,eeg_added_population,0,8,-0.007508379363935891,-0.07059952187433488,0.04655190894601608,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.0011432951328337992,0.022188516206085824
ds005540,de_ridge_base,eeg_added_population,1,0,0.018197483699897946,-0.05130048378509521,0.08799449273811871,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.004153949223779363,0.021982558262403983
ds005540,de_ridge_base,eeg_added_population,1,1,-0.009923782010875792,-0.0459093149606017,0.03427773298982342,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.002219138283613753,0.024280674385865727
ds005540,de_ridge_base,eeg_added_population,1,2,-0.00657217200929161,-0.05625709273111431,0.04544211167796808,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.0050311773800024275,0.021702581073404267
ds005540,de_ridge_base,eeg_added_population,1,4,-0.006411474028104991,-0.06441509569346263,0.04908122950452227,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.00020812166253395545,0.023288937778398838
ds005540,de_ridge_base,eeg_added_population,1,8,-0.007508379363935891,-0.07059952187433488,0.04655190894601608,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.0011432951328337992,0.022188516206085824
ds005540,de_ridge_base,eeg_added_population,2,0,0.018197483699897946,-0.05130048378509521,0.08799449273811871,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.004153949223779363,0.021982558262403983
ds005540,de_ridge_base,eeg_added_population,2,1,-0.009923782010875792,-0.0459093149606017,0.03427773298982342,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.002219138283613753,0.024280674385865727
ds005540,de_ridge_base,eeg_added_population,2,2,-0.00657217200929161,-0.05625709273111431,0.04544211167796808,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.0050311773800024275,0.021702581073404267
ds005540,de_ridge_base,eeg_added_population,2,4,-0.006411474028104991,-0.06441509569346263,0.04908122950452227,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.00020812166253395545,0.023288937778398838
ds005540,de_ridge_base,eeg_added_population,2,8,-0.007508379363935891,-0.07059952187433488,0.04655190894601608,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.0011432951328337992,0.022188516206085824
ds005540,de_ridge_base,eeg_added_population,4,0,0.018197483699897946,-0.05130048378509521,0.08799449273811871,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.004153949223779363,0.021982558262403983
ds005540,de_ridge_base,eeg_added_population,4,1,-0.009923782010875792,-0.0459093149606017,0.03427773298982342,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.002219138283613753,0.024280674385865727
ds005540,de_ridge_base,eeg_added_population,4,2,-0.00657217200929161,-0.05625709273111431,0.04544211167796808,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.0050311773800024275,0.021702581073404267
ds005540,de_ridge_base,eeg_added_population,4,4,-0.006411474028104991,-0.06441509569346263,0.04908122950452227,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.00020812166253395545,0.023288937778398838
ds005540,de_ridge_base,eeg_added_population,4,8,-0.007508379363935891,-0.07059952187433488,0.04655190894601608,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.0011432951328337992,0.022188516206085824
ds005540,de_ridge_base,eeg_added_population,8,0,0.018197483699897946,-0.05130048378509521,0.08799449273811871,1985,-0.05427871662178768,0.09067368402158357,0.008604111665807018,-0.004153949223779363,0.021982558262403983
ds005540,de_ridge_base,eeg_added_population,8,1,-0.009923782010875792,-0.0459093149606017,0.03427773298982342,1985,-0.08239998233256142,0.06255241831080983,0.01062768947287926,-0.002219138283613753,0.024280674385865727
ds005540,de_ridge_base,eeg_added_population,8,2,-0.00657217200929161,-0.05625709273111431,0.04544211167796808,1985,-0.07904837233097724,0.06590402831239402,0.008139262316192136,-0.0050311773800024275,0.021702581073404267
ds005540,de_ridge_base,eeg_added_population,8,4,-0.006411474028104991,-0.06441509569346263,0.04908122950452227,1985,-0.07888767434979062,0.06606472629358064,0.011103817561315676,-0.00020812166253395545,0.023288937778398838
ds005540,de_ridge_base,eeg_added_population,8,8,-0.007508379363935891,-0.07059952187433488,0.04655190894601608,1985,-0.07998457968562152,0.06496782095774974,0.010258850615616877,-0.0011432951328337992,0.022188516206085824
ds005540,de_ridge_base,eeg_added_matched_calibration,0,0,0.018197483699897946,-0.05130048378509521,0.08799449273811871,1985,-0.05551207582893089,0.09190704322872678,0.008604111665807018,-0.004153949223779363,0.021982558262403983
ds005540,de_ridge_base,eeg_added_matched_calibration,0,1,-0.009923782010875792,-0.0459093149606017,0.03427773298982342,1985,-0.08363334153970463,0.06378577751795304,0.01062768947287926,-0.002219138283613753,0.024280674385865727
