dataset_id,scenario,method,estimand,replicates,coverage,coverage_mc_low,coverage_mc_high,bias,positive_rate,mean_width
ds005540,independent_noise,basic,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0034324126476086,0.0,0.1230051439210955
ds005540,independent_noise,normal_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0034324126476086,0.0,0.1606762810009543
ds005540,independent_noise,percentile,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0034324126476086,0.0,0.1230051439210955
ds005540,labels_only,basic,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,labels_only,normal_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,3.7311262847749364e-19
ds005540,labels_only,percentile,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds005540,participant_constant,basic,uniform_grid_mean,300,0.91,0.8722229892013517,0.9374097743945206,-0.0032247413661426,1.0,0.0332930691799487
ds005540,participant_constant,normal_t,uniform_grid_mean,300,0.9733333333333334,0.9482710570494102,0.9864269301913527,-0.0032247413661426,1.0,0.0438468539567236
ds005540,participant_constant,percentile,uniform_grid_mean,300,0.9033333333333332,0.8646182980304887,0.9318497051817106,-0.0032247413661426,1.0,0.0332930691799487
ds005540,trial_signal,basic,uniform_grid_mean,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,0.0208063154445617,1.0,0.1083073274308693
ds005540,trial_signal,normal_t,uniform_grid_mean,300,0.99,0.97101650663766,0.9965933815622848,0.0208063154445617,1.0,0.1417828384569368
ds005540,trial_signal,percentile,uniform_grid_mean,300,0.9,0.8608335376153785,0.9290520854049849,0.0208063154445617,1.0,0.1083073274308693
ds006850,independent_noise,basic,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,-0.0020478348783085,0.0,0.103408371062024
ds006850,independent_noise,normal_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,-0.0020478348783085,0.0,0.1172776761436721
ds006850,independent_noise,percentile,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,-0.0020478348783085,0.0,0.103408371062024
ds006850,labels_only,basic,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,normal_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,percentile,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,participant_constant,basic,uniform_grid_mean,300,0.92,0.8837267595665261,0.9456531446048552,0.0008265595324948,1.0,0.0344853198356126
ds006850,participant_constant,normal_t,uniform_grid_mean,300,0.9766666666666668,0.9526280277317246,0.9886523397008748,0.0008265595324948,1.0,0.0393986057412176
ds006850,participant_constant,percentile,uniform_grid_mean,300,0.97,0.9439774608583588,0.9841381461905676,0.0008265595324948,1.0,0.0344853198356126
ds006850,trial_signal,basic,uniform_grid_mean,300,0.9766666666666668,0.9526280277317246,0.9886523397008748,0.0118371910660407,1.0,0.0950144263575624
ds006850,trial_signal,normal_t,uniform_grid_mean,300,0.9933333333333332,0.9760224167496928,0.998169851642088,0.0118371910660407,1.0,0.1080233063364246
ds006850,trial_signal,percentile,uniform_grid_mean,300,0.9266666666666666,0.8914686583942826,0.9510760061607711,0.0118371910660407,1.0,0.0950144263575624
ds005540,independent_noise,block_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0034324126476086,0.0,0.1735439299080148
ds005540,labels_only,block_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,4.029930954395737e-19
ds005540,participant_constant,block_t,uniform_grid_mean,300,0.98,0.9570603791821394,0.9908023684422964,-0.0032247413661427,1.0,0.0473582989495967
ds005540,trial_signal,block_t,uniform_grid_mean,300,0.9933333333333332,0.9760224167496928,0.998169851642088,0.0208063154445617,1.0,0.1531374190767079
ds006850,independent_noise,block_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,-0.0020478348783085,0.0,0.1461376743140585
ds006850,labels_only,block_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,participant_constant,block_t,uniform_grid_mean,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,0.0008265595324948,1.0,0.0490939179864429
ds006850,trial_signal,block_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,0.0118371910660407,1.0,0.1346059649099892
