dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,de_ridge_base,0,0,prior,5.990550166005177e-16,-1.8579040538974735e-15,3.0560140870985086e-15,1986,0.2105516121458705
ds005540,de_ridge_base,0,0,prior_personalized,5.990550166005177e-16,-1.8579040538974735e-15,3.0560140870985086e-15,1986,0.2105516121458705
ds005540,de_ridge_base,0,0,eeg_population,0.06689298680816733,-0.03399177806130946,0.1677777516776441,1986,0.2139543397863238
ds005540,de_ridge_base,0,0,eeg_personalized,0.06689298680816733,-0.03399177806130946,0.1677777516776441,1986,0.2139543397863238
ds005540,de_ridge_base,0,0,combined_population,0.053343606712613324,-0.050772568353770205,0.15745978177899686,1986,0.2130771493964882
ds005540,de_ridge_base,0,0,combined_personalized,0.053343606712613324,-0.050772568353770205,0.15745978177899686,1986,0.2130771493964882
ds005540,de_ridge_base,0,1,prior,0.36933218502736587,0.19205758796113323,0.5466067820935985,1986,0.21053703703703702
ds005540,de_ridge_base,0,1,prior_personalized,0.36933218502736587,0.19205758796113323,0.5466067820935985,1986,0.21053703703703702
ds005540,de_ridge_base,0,1,eeg_population,0.08588150452965479,-0.020000515419043047,0.19176352447835263,1986,0.21182591709607568
ds005540,de_ridge_base,0,1,eeg_personalized,0.08588150452965479,-0.020000515419043047,0.19176352447835263,1986,0.21182591709607568
ds005540,de_ridge_base,0,1,combined_population,0.36850918316421566,0.193333053015916,0.5436853133125154,1986,0.2271354386724791
ds005540,de_ridge_base,0,1,combined_personalized,0.36850918316421566,0.193333053015916,0.5436853133125154,1986,0.2271354386724791
ds005540,de_ridge_base,0,2,prior,0.40321681440913204,0.26464407738121054,0.5417895514370535,1986,0.19125462962962964
ds005540,de_ridge_base,0,2,prior_personalized,0.40321681440913204,0.26464407738121054,0.5417895514370535,1986,0.19125462962962964
ds005540,de_ridge_base,0,2,eeg_population,0.06798768198306872,-0.026693993392981258,0.1626693573591187,1986,0.2129581493885965
ds005540,de_ridge_base,0,2,eeg_personalized,0.06798768198306872,-0.026693993392981258,0.1626693573591187,1986,0.2129581493885965
ds005540,de_ridge_base,0,2,combined_population,0.41054485409075986,0.25299117243024466,0.5680985357512751,1986,0.20534928205487696
ds005540,de_ridge_base,0,2,combined_personalized,0.41054485409075986,0.25299117243024466,0.5680985357512751,1986,0.20534928205487696
ds005540,de_ridge_base,0,4,prior,0.45986808514520955,0.313846638897867,0.6058895313925521,1986,0.17076504629629627
ds005540,de_ridge_base,0,4,prior_personalized,0.45986808514520955,0.313846638897867,0.6058895313925521,1986,0.17076504629629627
ds005540,de_ridge_base,0,4,eeg_population,0.058254464259778274,-0.0357343334746002,0.15224326199415675,1986,0.2144218372892975
ds005540,de_ridge_base,0,4,eeg_personalized,0.058254464259778274,-0.0357343334746002,0.15224326199415675,1986,0.2144218372892975
ds005540,de_ridge_base,0,4,combined_population,0.4903042473545301,0.3368387786545927,0.6437697160544675,1986,0.17540348078629037
ds005540,de_ridge_base,0,4,combined_personalized,0.4903042473545301,0.3368387786545927,0.6437697160544675,1986,0.17540348078629037
ds005540,de_ridge_base,0,8,prior,0.501578607493332,0.355264019909334,0.6478931950773301,1986,0.15928819444444442
ds005540,de_ridge_base,0,8,prior_personalized,0.501578607493332,0.355264019909334,0.6478931950773301,1986,0.15928819444444442
ds005540,de_ridge_base,0,8,eeg_population,0.06486082466865066,-0.034388907023547785,0.1641105563608491,1986,0.2120397361452561
ds005540,de_ridge_base,0,8,eeg_personalized,0.06486082466865066,-0.034388907023547785,0.1641105563608491,1986,0.2120397361452561
ds005540,de_ridge_base,0,8,combined_population,0.5384499694369644,0.37491277543460866,0.7019871634393202,1986,0.16067853898125703
ds005540,de_ridge_base,0,8,combined_personalized,0.5384499694369644,0.37491277543460866,0.7019871634393202,1986,0.16067853898125703
ds005540,de_ridge_base,1,0,prior,5.990550166005177e-16,-1.8579040538974735e-15,3.0560140870985086e-15,1986,0.2105516121458705
ds005540,de_ridge_base,1,0,prior_personalized,0.09924916678456026,-0.038392914972511336,0.23689124854163185,1986,0.22442082976391936
ds005540,de_ridge_base,1,0,eeg_population,0.06689298680816733,-0.03399177806130946,0.1677777516776441,1986,0.2139543397863238
ds005540,de_ridge_base,1,0,eeg_personalized,0.10711047142864868,-0.0458340057088632,0.26005494856616057,1986,0.2417472038111411
