dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,de_ridge_base,0,0,prior,-3.0732194575483232e-15,-5.544037093133089e-15,-6.024018219635578e-16,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,prior_personalized,-3.0732194575483232e-15,-5.544037093133089e-15,-6.024018219635578e-16,1985,0.21154367944837507
ds005540,de_ridge_base,0,0,eeg_population,0.015759027475010824,-0.0934506642239773,0.12496871917399893,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,eeg_personalized,0.015759027475010824,-0.0934506642239773,0.12496871917399893,1985,0.22167952811467492
ds005540,de_ridge_base,0,0,combined_population,0.01819748369989487,-0.0801107944375036,0.11650576183729336,1985,0.2201477911141821
ds005540,de_ridge_base,0,0,combined_personalized,0.01819748369989487,-0.0801107944375036,0.11650576183729336,1985,0.2201477911141821
ds005540,de_ridge_base,0,8,prior,0.4907012372224836,0.34749131213137896,0.6339111623135882,1985,0.16290261243386245
ds005540,de_ridge_base,0,8,prior_personalized,0.4907012372224836,0.34749131213137896,0.6339111623135882,1985,0.16290261243386245
ds005540,de_ridge_base,0,8,eeg_population,0.02103296255292619,-0.0892187884238999,0.13128471352975227,1985,0.22084475102082296
ds005540,de_ridge_base,0,8,eeg_personalized,0.02103296255292619,-0.0892187884238999,0.13128471352975227,1985,0.22084475102082296
ds005540,de_ridge_base,0,8,combined_population,0.4831928578585477,0.3204448678235392,0.6459408478935562,1985,0.17316146304947932
ds005540,de_ridge_base,0,8,combined_personalized,0.4831928578585477,0.3204448678235392,0.6459408478935562,1985,0.17316146304947932
ds005540,de_ridge_base,8,0,prior,-3.0732194575483232e-15,-5.544037093133089e-15,-6.024018219635578e-16,1985,0.21154367944837507
ds005540,de_ridge_base,8,0,prior_personalized,0.20355097551998394,0.08686608804864297,0.3202358629913249,1985,0.19155023578113023
ds005540,de_ridge_base,8,0,eeg_population,0.015759027475010824,-0.0934506642239773,0.12496871917399893,1985,0.22167952811467492
