dataset_id,representation,effect,left_participant_dose,left_stimulus_dose,left_predictor,right_participant_dose,right_stimulus_dose,right_predictor,seed_count,ccc_delta_mean,ccc_delta_crossed_bootstrap_95ci,ccc_exact_seed_sign_flip_p,mae_delta_crossed_bootstrap_mean,mae_delta_crossed_bootstrap_95ci,bootstrap_iterations,bootstrap_valid_ccc_iterations,bootstrap_valid_mae_iterations
ds002721,bandpower,participant_calibration,0,0,combined_population,8,0,combined_personalized,5,0.1128570499818486,"[-0.0037541114038065985, 0.23862427030974884]",0.0625,-0.00830333875509503,"[-0.03857490289875405, 0.021769979037950037]",1000,1000,1000
ds002721,bandpower,stimulus_exposure,0,0,combined_population,0,4,combined_population,5,0.09957280365185663,"[-0.09204049951243844, 0.254367490295897]",0.1875,-0.02392732498591258,"[-0.06655631563286825, 0.02546421034140382]",1000,1000,1000
ds002721,bandpower,joint_exposure,0,0,combined_population,8,4,combined_personalized,5,0.21847067242455037,"[0.01721605649363458, 0.3619385755250513]",0.0625,-0.0463511049025999,"[-0.08700251677312924, -0.008429531366289059]",1000,1000,1000
ds002721,bandpower,stimulus_prior,0,0,prior,0,4,prior,5,0.10324887555940336,"[-0.09748164823622266, 0.2747400990161627]",0.25,-0.02939243273753035,"[-0.07387906734486005, 0.018002195853141986]",1000,1000,1000
ds002721,labram_pretrained,participant_calibration,0,0,combined_population,8,0,combined_personalized,5,0.09530230324105386,"[-0.009665961720865889, 0.20372752702338381]",0.1875,-0.002486949435367537,"[-0.03210654272141199, 0.030613403788434756]",1000,1000,1000
ds002721,labram_pretrained,stimulus_exposure,0,0,combined_population,0,4,combined_population,5,0.10595488386214584,"[-0.09500704570287377, 0.2798237027281157]",0.1875,-0.03365083325311977,"[-0.07976240291175277, 0.014218970898034262]",1000,1000,1000
ds002721,labram_pretrained,joint_exposure,0,0,combined_population,8,4,combined_personalized,5,0.20445587231819862,"[0.015664047877188173, 0.3319738280457475]",0.0625,-0.04730483617379775,"[-0.08809040962479034, -0.0023533280984719663]",1000,1000,1000
ds002721,labram_pretrained,stimulus_prior,0,0,prior,0,4,prior,5,0.10324887555940336,"[-0.09938064558553021, 0.24991443150593476]",0.25,-0.027778353843397604,"[-0.07362801263024454, 0.01942545669231131]",1000,1000,1000
ds002721,labram_random,participant_calibration,0,0,combined_population,8,0,combined_personalized,5,0.101666118558562,"[-0.010287972322584688, 0.2114573753033627]",0.0625,-0.0006080918074409724,"[-0.034201073393547506, 0.032965056787344134]",1000,1000,1000
ds002721,labram_random,stimulus_exposure,0,0,combined_population,0,4,combined_population,5,0.09206173847562957,"[-0.1084511108140809, 0.25769245857279993]",0.3125,-0.02706954057201703,"[-0.07704994812214988, 0.01903917819948677]",1000,1000,1000
ds002721,labram_random,joint_exposure,0,0,combined_population,8,4,combined_personalized,5,0.2056708788771912,"[0.017447210171403986, 0.3489710410532375]",0.0625,-0.043192259493552196,"[-0.08693045774265555, 0.00331205983597753]",1000,1000,1000
ds002721,labram_random,stimulus_prior,0,0,prior,0,4,prior,5,0.10324887555940336,"[-0.13571069567469093, 0.24983942834378972]",0.25,-0.026964479898501002,"[-0.07270050696810162, 0.02374585256681718]",1000,1000,1000
ds003751,bandpower,participant_calibration,0,0,combined_population,2,0,combined_personalized,4,0.11506589163542937,"[-0.16189151098622226, 0.2760929524323681]",0.125,-0.007582591962649626,"[-0.08595093596766588, 0.06550099768154329]",1000,1000,1000
