dataset_id,seed,eligible_feature_trials,fixed_test_trials,fixed_test_participants,fixed_test_stimuli_or_conditions,population_train_trials,validation_trials,maximum_calibration_trials,maximum_repeated_stimulus_trials,fixed_test_support_sha256
ds002721,11,1240,19,5,9,452,49,40,36,47686751607dc420c1a89c0916347e7605d58b9cc097715b009919cabeccdda3
ds002721,23,1240,25,6,13,482,63,48,52,f81a2983ce4780b2cb3aed4c93588975e848c33293ba9c1150b61eb1f443c7db
ds002721,47,1240,25,5,7,492,36,40,28,300da5c4fd0d9ff840a97f44a6e8ed439b1477dd0d964e085bb6988e0b9fa722
ds002721,71,1240,22,6,11,478,52,48,44,b41c1289e17e665e0a56371f1e460a9929d84505cb72a808fa3fd5afc73bb1df
ds002721,101,1240,46,6,18,424,54,48,72,902c502b248174363ab4a638cf58f7cb04c9da27eb8e5d990c10de2282417a3d
ds003751,23,162,6,3,3,57,8,6,6,822f59f49e52532ff17a9fa9b75be355e03fb91a79ef7675cb1e1393b98c8bd9
ds003751,47,162,10,4,4,50,10,8,8,4911d47c17423ef6fc4d1c187acc287237837264c4cf80159fc584cffe57e26b
ds003751,71,162,5,3,2,65,5,6,4,d80f73f0437e2de6d58a42a04633ed78103631d237aca925c48956bca39c9380
ds003751,101,162,6,5,4,62,9,10,8,98b11198e3b721ea0062bd4012149ce6e305f52381642b1817c545f207c12d53
ds005540,11,1260,48,6,8,442,56,48,64,eab715ce5dc97320a5d65f6de46a12c651ec8a1ef6d93ad0f6cc7878e88dcc64
ds005540,23,1260,40,5,8,520,40,40,64,c07fc2d0a13e8ffdbbe9f1c05ad636ba1021b91e9b8ff3181e60682726046142
ds005540,47,1260,56,7,8,442,48,56,64,5aae68c678555717532a6818a6929ae6b98ba4a6e9cad5fdc001511e928ad10f
ds005540,71,1260,32,4,8,546,40,32,64,48e7ba95948e2f15bf4b9c5d9288242915410e9496caf44b18c4d0186c5e0ae1
ds005540,101,1260,32,4,8,546,40,32,64,23c29e14c1b7fbe9e31f2377fde905a84294201d90d47d8e53c66b243ec88d28
ds006866,11,35504,1200,30,1,16468,600,240,8,28ffa7936fa2326114f65e30eed107ced0f806328e1cbbd8c05fea6f8e48eefc
ds006866,23,35504,1199,30,1,16468,600,240,8,ebffb5c08d808d3743ed24391b1e27bb90a58328a67d71fd6bfd9809921bbbc3
ds006866,47,35504,1200,30,1,16473,600,240,8,5128416340348f83a2e1b2f37bd8acfc18bbf545a79f1b1fb3efb2850a915104
ds006866,71,35504,1200,30,1,16471,600,240,8,65a5594d3e9353b7d2255dae70494e8220be6fef11efaf4eec22e00d890ade59
ds006866,101,35504,1200,30,1,16468,600,240,8,c96848e541259b66492497afd3a0fcc847fb199556bd1d001fb474c7266cb280
