representation,probe,dataset_id,source_asset,source_sha256,seed_count,balanced_accuracy_mean,balanced_accuracy_sample_std,permuted_balanced_accuracy_mean,chance_accuracy,seen_test_fraction
DE,dataset,all,identity_de,21eb1efe40e7c01efa7da9faef4cec84b91c8745144ec2e52cb7e719244ae0f0,5,0.898701085595,0.0286643225017,0.391333582517,0.333333333333,
LaBraM pretrained,subject,ds005540,identity_labram_pretrained,1c5f10ad9cc92d2bc7c15cd6765a668c7f91c903c255c429a28e206cddc024a3,5,0.964166666667,0.00697216688778,0.0191666666667,0.0333333333333,1
LaBraM random,subject,ds005540,identity_labram_random,760b6f041679aa08e1c05c7c97a0bd92f202b1f0d811eca9097be4fc8c56a0bf,5,0.173333333333,0.0221657267971,0.0425,0.0333333333333,1
DE,stimulus,ds002721,identity_de,21eb1efe40e7c01efa7da9faef4cec84b91c8745144ec2e52cb7e719244ae0f0,5,0,0,0,0.00360885319499,0.870833333333
DE,stimulus,ds003751,identity_de,21eb1efe40e7c01efa7da9faef4cec84b91c8745144ec2e52cb7e719244ae0f0,5,0.104420652877,0.0352192261986,0.0857956259427,0.0511111111111,0.982608695652
DE,stimulus,ds005540,identity_de,21eb1efe40e7c01efa7da9faef4cec84b91c8745144ec2e52cb7e719244ae0f0,5,0.0351515151515,0.00357567124503,0.0250745550746,0.0238095238095,1
CBraMod pretrained,stimulus,ds005540,identity_cbramod_pretrained,79afd238458685c4f7280a76fa51875968383653a40d49b2a66f4731783a1bf7,5,0.0357369614512,0.0155654110902,0.0266326530612,0.0238095238095,1
CBraMod random,stimulus,ds005540,identity_cbramod_random,e564ae43d8c408cdf68967c75bf3f3f343b891523febe234f9692d676908f9b8,5,0.0234920634921,0.00950063317565,0.0256009070295,0.0238095238095,1
LaBraM pretrained,stimulus,ds005540,identity_labram_pretrained,1c5f10ad9cc92d2bc7c15cd6765a668c7f91c903c255c429a28e206cddc024a3,5,0.0233673469388,0.0072529577346,0.0260317460317,0.0238095238095,1
LaBraM random,stimulus,ds005540,identity_labram_random,760b6f041679aa08e1c05c7c97a0bd92f202b1f0d811eca9097be4fc8c56a0bf,5,0.0181746031746,0.0124111861215,0.0207029478458,0.0238095238095,1
