protocol,comparison,ccc_delta_mean,ccc_ci_low,ccc_ci_high,ccc_sign_flip_p,mae_delta_mean,mae_ci_low,mae_ci_high,mae_sign_flip_p,source_asset,source_sha256
trial_random_holdout,cbramod_vs_labram_pretrained,-0.00609269925882,-0.0313098066057,0.0161973857533,0.1875,0.00146919843914,-0.00302079089643,0.0060865678493,0.1875,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
trial_random_holdout,cbramod_vs_labram_random,0.0397004874487,0.0120769097649,0.0662888888449,0.0625,-0.00391372725823,-0.00860793667634,0.00090652466076,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
trial_random_holdout,de_vs_cbramod,0.0956434807725,0.0633563522587,0.128355286182,0.0625,-0.0140933111432,-0.0201220291033,-0.00832449914421,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
trial_random_holdout,de_vs_labram_pretrained,0.0895507815137,0.0555357736465,0.122775132507,0.0625,-0.012624112704,-0.0183737360934,-0.00700506351707,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
trial_random_holdout,de_vs_labram_random,0.135343968221,0.0920522551146,0.17882092446,0.0625,-0.0180070384014,-0.024343565667,-0.0116527606317,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
trial_random_holdout,labram_pretrained_vs_labram_random,0.0457931867075,0.0234862093559,0.0686431784727,0.0625,-0.00538292569736,-0.00986765868278,-0.000439171319943,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
stimulus_holdout,cbramod_vs_labram_pretrained,-0.00677268488425,-0.0479144747306,0.0316548134857,0.6875,-0.000254841569341,-0.00375995611061,0.00359556133321,0.875,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
stimulus_holdout,cbramod_vs_labram_random,0.0638664533678,0.0482159359857,0.0897455156096,0.0625,-0.00500459833298,-0.00710160490893,-0.00246460906899,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
stimulus_holdout,de_vs_cbramod,0.100827625361,0.053563855375,0.157336349735,0.0625,-0.0117474581562,-0.0168624878027,-0.006002962045,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
stimulus_holdout,de_vs_labram_pretrained,0.0940549404768,0.065858750601,0.130990293426,0.0625,-0.0120022997255,-0.0164201215342,-0.00726066621237,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
stimulus_holdout,de_vs_labram_random,0.164694078729,0.118483198929,0.22055556391,0.0625,-0.0167520564891,-0.0220717565356,-0.011105523067,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
stimulus_holdout,labram_pretrained_vs_labram_random,0.070639138252,0.0396090807944,0.114328695164,0.0625,-0.00474975676364,-0.00735982636626,-0.00190386938377,0.0625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_holdout,cbramod_vs_labram_pretrained,0.0133812849533,-0.023106451477,0.0551878566719,0.625,-0.00418208964754,-0.0144470481062,0.00369826793287,0.625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_holdout,cbramod_vs_labram_random,0.0148440701719,-0.00794876853784,0.0440329408502,0.3125,-0.00382255545343,-0.0121483561769,0.00314539787068,0.5625,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_holdout,de_vs_cbramod,0.00758526696488,-0.0274156337139,0.0337899962425,0.4375,0.0032066743576,-0.00480288463566,0.0122804797806,0.4375,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_holdout,de_vs_labram_pretrained,0.0209665519182,-0.0245222142604,0.0656564056342,0.5,-0.000975415289937,-0.0133136485384,0.0114049537902,0.6875,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_holdout,de_vs_labram_random,0.0224293371368,-0.0103479471141,0.0471079214203,0.125,-0.000615881095832,-0.00935370147521,0.00865485539849,0.75,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_holdout,labram_pretrained_vs_labram_random,0.00146278521858,-0.0475110196615,0.0415893164844,0.9375,0.000359534194104,-0.0100677069111,0.0127827481176,0.9375,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
subject_stimulus_holdout,cbramod_vs_labram_pretrained,0.00616940155466,-0.0396592669283,0.0472921386515,0.6875,-0.00138797938536,-0.0103791382709,0.00796415000459,0.8125,representation_statistics_core,779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d
