analysis,variant,endpoint,metric,value,ci_low,ci_high,sign_flip_p,source_asset,source_sha256
support_matched,direct_eeg,matched_minus_joint,ccc_delta,0.151072472692,0.0348564504967,0.215588811368,0.0625,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,direct_eeg,matched_minus_joint,mae_delta,-0.00550443501398,-0.0215885928339,0.0133242604068,0.1875,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,disentangled_prior_plus_eeg_residual,matched_minus_joint,ccc_delta,0.211065344223,0.110092524039,0.270574059486,0.0625,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,disentangled_prior_plus_eeg_residual,matched_minus_joint,mae_delta,-0.0264676259106,-0.0441916450687,-0.00844526725052,0.0625,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,global_mean,matched_minus_joint,ccc_delta,5.8977371087e-33,-1.85972252055e-32,2.09949271075e-32,1,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,global_mean,matched_minus_joint,mae_delta,-0.00309252495267,-0.00725479341845,3.48906006403e-05,0.125,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,hybrid_stimulus_prior,matched_minus_joint,ccc_delta,0.0991363028561,0.0063486153164,0.168783915859,0.0625,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,hybrid_stimulus_prior,matched_minus_joint,mae_delta,-0.00871382637375,-0.0247152917392,0.00559011071854,0.125,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,semantic_stimulus_prior,matched_minus_joint,ccc_delta,0.0826685798052,0.0042063853571,0.13810548267,0.0625,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched,semantic_stimulus_prior,matched_minus_joint,mae_delta,-0.00951681155007,-0.0208475180412,0.00308009861815,0.0625,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched_support,test,across_seed_range,test_rows_min,32,,,,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched_support,test,across_seed_range,test_rows_max,56,,,,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched_support,test,across_seed_range,subject_clusters_min,4,,,,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched_support,test,across_seed_range,subject_clusters_max,7,,,,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched_support,test,across_seed_range,stimulus_clusters_min,8,,,,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
support_matched_support,test,across_seed_range,stimulus_clusters_max,8,,,,support_matched_statistics,0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0
subject_subspace,pca,baseline,combined_ccc,0.446399844582,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,baseline,combined_mae,0.168483475682,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,baseline,subject_balanced_accuracy,0.964166666667,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,max_removal,combined_ccc,0.417241119534,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,max_removal,combined_mae,0.170665318811,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,max_removal,subject_balanced_accuracy,0.7775,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,max_minus_baseline,ccc_delta,-0.0291587250476,-0.0639911720714,0.0105214588952,0.1875,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,max_minus_baseline,mae_delta,0.00218184312884,-0.00221188416802,0.00651191829203,0.1875,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,max_minus_baseline,subject_balanced_accuracy_delta,-0.186666666667,,,0.0625,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,pca,full_curve,within_seed_identity_ccc_correlation,0.655751578172,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,baseline,combined_ccc,0.446399844582,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,baseline,combined_mae,0.168483475682,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,baseline,subject_balanced_accuracy,0.964166666667,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,max_removal,combined_ccc,0.443929051171,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,max_removal,combined_mae,0.168658496511,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,max_removal,subject_balanced_accuracy,0.951666666667,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,max_minus_baseline,ccc_delta,-0.00247079341097,-0.00810134939147,0.0019505668281,0.1875,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,max_minus_baseline,mae_delta,0.000175020828396,-0.000631518857186,0.00100770993994,0.25,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,max_minus_baseline,subject_balanced_accuracy_delta,-0.0125,,,0.125,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,random,full_curve,within_seed_identity_ccc_correlation,-0.0515344348943,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,baseline,combined_ccc,0.446399844582,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,baseline,combined_mae,0.168483475682,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,baseline,subject_balanced_accuracy,0.964166666667,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,max_removal,combined_ccc,0.380824049342,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,max_removal,combined_mae,0.173152797862,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,max_removal,subject_balanced_accuracy,0.0341666666667,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,max_minus_baseline,ccc_delta,-0.0655757952398,-0.107025041388,-0.0272000428007,0.0625,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,max_minus_baseline,mae_delta,0.00466932217959,-0.000528263559621,0.0103060959347,0.125,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,max_minus_baseline,subject_balanced_accuracy_delta,-0.93,,,0.0625,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace,subject_centroid,full_curve,within_seed_identity_ccc_correlation,0.840613106744,,,,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace_specificity,pca,identity_minus_control_endpoint_effect,ccc_difference_in_differences,-0.0364170701922,-0.0623999961565,-0.0117547432835,0.0625,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
subject_subspace_specificity,random,identity_minus_control_endpoint_effect,ccc_difference_in_differences,-0.0631050018289,-0.102774820938,-0.0262516966974,0.0625,subject_subspace_statistics,11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8
